"gr_low","gr_high","rpm","power_a"
1.39,1.58,1300,1.1
1.39,1.58,1400,1.25
1.39,1.58,1425,1.28
1.39,1.58,1500,1.34
1.39,1.58,1600,1.43
1.39,1.58,1700,1.52
1.39,1.58,1750,1.57
1.39,1.58,1800,1.61
1.39,1.58,1900,1.7
1.39,1.58,2000,1.79
1.39,1.58,2100,1.88
1.39,1.58,2200,1.97
1.39,1.58,2300,2.06
1.39,1.58,2400,2.15
1.39,1.58,2500,2.24
1.39,1.58,2580,2.55
1.39,1.58,2600,2.33
1.39,1.58,2700,2.42
1.39,1.58,2800,2.51
1.39,1.58,2900,2.6
1.39,1.58,3000,2.69
1.39,1.58,3100,2.78
1.39,1.58,3200,2.87
1.39,1.58,3300,2.95
1.39,1.58,3400,3.04
1.39,1.58,3450,3.09
1.39,1.58,3500,3.13
1.39,1.58,3600,3.22
1.39,1.58,3700,3.31
1.58,1.95,100,0.1
1.58,1.95,200,0.2
1.58,1.95,300,0.3
1.58,1.95,400,0.4
1.58,1.95,435,0.44
1.58,1.95,485,0.49
1.58,1.95,500,0.5
1.58,1.95,575,0.58
1.58,1.95,600,0.6
1.58,1.95,690,0.7
1.58,1.95,700,0.71
1.58,1.95,725,0.73
1.58,1.95,800,0.81
1.58,1.95,870,0.88
1.58,1.95,900,0.91
1.58,1.95,950,0.96
1.58,1.95,1000,1.01
1.58,1.95,1100,1.11
1.58,1.95,1160,1.17
1.58,1.95,1200,1.21
1.58,1.95,1300,1.31
1.58,1.95,1400,1.41
1.58,1.95,1425,1.44
1.58,1.95,1500,1.51
1.58,1.95,1600,1.61
1.58,1.95,1700,1.71
1.58,1.95,1750,1.76
1.58,1.95,1800,1.81
1.58,1.95,1900,1.91
1.58,1.95,2000,2.02
1.58,1.95,2100,2.12
1.58,1.95,2200,2.22
1.58,1.95,2300,2.32
1.58,1.95,2400,2.42
1.58,1.95,2500,2.52
1.58,1.95,2580,2.87
1.58,1.95,2600,2.62
1.58,1.95,2700,2.72
1.58,1.95,2800,2.82
1.58,1.95,2900,2.92
1.58,1.95,3000,3.02
1.58,1.95,3100,3.12
1.58,1.95,3200,3.22
1.58,1.95,3300,3.32
1.58,1.95,3400,3.42
1.58,1.95,3450,3.48
1.58,1.95,3500,3.52
1.58,1.95,3600,3.62
1.58,1.95,3700,3.72
1.95,3.38,100,0.11
1.95,3.38,200,0.22
1.95,3.38,300,0.33
1.95,3.38,400,0.44
1.95,3.38,435,0.48
1.95,3.38,485,0.53
1.95,3.38,500,0.55
1.95,3.38,575,0.63
1.95,3.38,600,0.66
1.95,3.38,690,0.76
1.95,3.38,700,0.77
1.95,3.38,725,0.8
1.95,3.38,800,0.88
1.95,3.38,870,0.96
1.95,3.38,900,0.99
1.95,3.38,950,1.04
1.95,3.38,1000,1.1
1.95,3.38,1100,1.21
1.95,3.38,1160,1.27
1.95,3.38,1200,1.32
1.95,3.38,1300,1.43
1.95,3.38,1400,1.54
1.95,3.38,1425,1.56
1.95,3.38,1500,1.65
1.95,3.38,1600,1.76
1.95,3.38,1700,1.87
1.95,3.38,1750,1.92
1.95,3.38,1800,1.98
1.95,3.38,1900,2.09
1.95,3.38,2000,2.2
1.95,3.38,2100,2.31
1.95,3.38,2200,2.42
1.95,3.38,2300,2.52
1.95,3.38,2400,2.63
1.95,3.38,2500,2.74
1.95,3.38,2580,3.13
1.95,3.38,2600,2.85
