"gr_low","gr_high","rpm","power_a"
1.06,1.12,1425,1.85
1.06,1.12,1450,1.88
1.06,1.12,1500,1.94
1.06,1.12,1550,2.01
1.06,1.12,1600,2.07
1.06,1.12,1650,2.14
1.06,1.12,1700,2.2
1.06,1.12,1750,2.27
1.06,1.12,1750,2.27
1.06,1.12,1800,2.33
1.06,1.12,1850,2.4
1.06,1.12,1900,2.46
1.06,1.12,1950,2.53
1.06,1.12,2000,2.59
1.12,1.19,50,0.11
1.12,1.19,100,0.23
1.12,1.19,150,0.34
1.12,1.19,200,0.45
1.12,1.19,250,0.56
1.12,1.19,300,0.68
1.12,1.19,350,0.79
1.12,1.19,400,0.9
1.12,1.19,435,0.98
1.12,1.19,450,1.02
1.12,1.19,485,1.1
1.12,1.19,500,1.13
1.12,1.19,550,1.24
1.12,1.19,575,1.3
1.12,1.19,600,1.35
1.12,1.19,650,1.47
1.12,1.19,690,1.56
1.12,1.19,700,1.58
1.12,1.19,725,1.64
1.12,1.19,750,1.69
1.12,1.19,800,1.81
1.12,1.19,850,1.92
1.12,1.19,870,1.96
1.12,1.19,900,2.03
1.12,1.19,950,2.15
1.12,1.19,950,2.15
1.12,1.19,1000,2.26
1.12,1.19,1050,2.37
1.12,1.19,1100,2.48
1.12,1.19,1150,2.6
1.12,1.19,1160,2.62
1.12,1.19,1200,2.71
1.12,1.19,1250,2.82
1.12,1.19,1300,2.94
1.12,1.19,1350,3.05
1.12,1.19,1400,3.16
1.12,1.19,1425,3.22
1.12,1.19,1450,3.27
1.12,1.19,1500,3.39
1.12,1.19,1550,3.5
1.12,1.19,1600,3.61
1.12,1.19,1650,3.79
1.12,1.19,1700,3.84
1.12,1.19,1750,3.95
1.12,1.19,1750,3.95
1.12,1.19,1800,4.06
1.12,1.19,1850,4.18
1.12,1.19,1900,4.29
1.12,1.19,1950,4.4
1.12,1.19,2000,4.52
1.19,1.27,50,0.15
1.19,1.27,100,0.31
1.19,1.27,150,0.46
1.19,1.27,200,0.61
1.19,1.27,250,0.77
1.19,1.27,300,0.92
1.19,1.27,350,1.08
1.19,1.27,400,1.23
1.19,1.27,435,1.34
1.19,1.27,450,1.38
1.19,1.27,485,1.49
1.19,1.27,500,1.54
1.19,1.27,550,1.69
1.19,1.27,575,1.77
1.19,1.27,600,1.84
1.19,1.27,650,2
1.19,1.27,690,2.12
1.19,1.27,700,2.15
1.19,1.27,725,2.23
1.19,1.27,750,2.31
1.19,1.27,800,2.46
1.19,1.27,850,2.61
1.19,1.27,870,2.67
1.19,1.27,900,2.77
1.19,1.27,950,2.92
1.19,1.27,950,2.92
1.19,1.27,1000,3.07
1.19,1.27,1050,3.23
1.19,1.27,1100,3.38
1.19,1.27,1150,3.53
1.19,1.27,1160,3.57
1.19,1.27,1200,3.69
1.19,1.27,1250,3.84
1.19,1.27,1300,4
