"gr_low","gr_high","rpm","power_a"
1.17,1.23,1750,0.22
1.17,1.23,1800,0.22
1.17,1.23,2000,0.25
1.17,1.23,2000,0.27
1.17,1.23,2400,0.3
1.17,1.23,2600,0.32
1.17,1.23,2800,0.35
1.17,1.23,2850,0.35
1.17,1.23,3000,0.37
1.17,1.23,3200,0.4
1.17,1.23,3400,0.42
1.17,1.23,3450,0.43
1.17,1.23,3600,0.45
1.17,1.23,3800,0.47
1.17,1.23,4000,0.5
1.17,1.23,4200,0.52
1.17,1.23,4400,0.55
1.17,1.23,4600,0.57
1.17,1.23,4800,0.6
1.17,1.23,5000,0.62
1.17,1.23,5200,0.65
1.17,1.23,5400,0.67
1.17,1.23,5600,0.69
1.17,1.23,5800,0.72
1.17,1.23,6000,0.74
1.17,1.23,6200,0.77
1.17,1.23,6400,0.79
1.17,1.23,6500,0.82
1.17,1.23,6800,0.84
1.23,1.31,200,0.03
1.23,1.31,400,0.06
1.23,1.31,600,0.09
1.23,1.31,800,0.12
1.23,1.31,950,0.14
1.23,1.31,1000,0.14
1.23,1.31,1160,0.17
1.23,1.31,1200,0.17
1.23,1.31,1400,0.2
1.23,1.31,1425,0.21
1.23,1.31,1600,0.23
1.23,1.31,1750,0.25
1.23,1.31,1800,0.26
1.23,1.31,2000,0.29
1.23,1.31,2000,0.32
1.23,1.31,2400,0.35
1.23,1.31,2600,0.38
1.23,1.31,2800,0.41
1.23,1.31,2850,0.41
1.23,1.31,3000,0.43
1.23,1.31,3200,0.46
1.23,1.31,3400,0.49
1.23,1.31,3450,0.5
1.23,1.31,3600,0.52
1.23,1.31,3800,0.55
1.23,1.31,4000,0.58
1.23,1.31,4200,0.61
1.23,1.31,4400,0.64
1.23,1.31,4600,0.67
1.23,1.31,4800,0.69
1.23,1.31,5000,0.72
1.23,1.31,5200,0.75
1.23,1.31,5400,0.78
1.23,1.31,5600,0.81
1.23,1.31,5800,0.84
1.23,1.31,6000,0.87
1.23,1.31,6200,0.9
1.23,1.31,6400,0.93
1.23,1.31,6500,0.96
1.23,1.31,6800,0.98
1.31,1.49,200,0.03
1.31,1.49,400,0.07
1.31,1.49,600,0.1
1.31,1.49,800,0.13
1.31,1.49,950,0.16
1.31,1.49,1000,0.17
1.31,1.49,1160,0.19
1.31,1.49,1200,0.2
1.31,1.49,1400,0.23
1.31,1.49,1425,0.24
1.31,1.49,1600,0.26
1.31,1.49,1750,0.29
1.31,1.49,1800,0.3
1.31,1.49,2000,0.33
1.31,1.49,2000,0.36
1.31,1.49,2400,0.4
1.31,1.49,2600,0.43
1.31,1.49,2800,0.46
1.31,1.49,2850,0.47
1.31,1.49,3000,0.5
1.31,1.49,3200,0.53
1.31,1.49,3400,0.56
1.31,1.49,3450,0.57
1.31,1.49,3600,0.6
1.31,1.49,3800,0.63
1.31,1.49,4000,0.66
1.31,1.49,4200,0.69
1.31,1.49,4400,0.73
1.31,1.49,4600,0.76
1.31,1.49,4800,0.79
1.31,1.49,5000,0.83
1.31,1.49,5200,0.86
1.31,1.49,5400,0.89
1.31,1.49,5600,0.93
1.31,1.49,5800,0.96
1.31,1.49,6000,0.99
1.31,1.49,6200,1.03
1.31,1.49,6400,1.06
1.31,1.49,6500,1.09
1.31,1.49,6800,1.13
1.49,10,200,0.04
1.49,10,400,0.07
1.49,10,600,0.11
1.49,10,800,0.15
1.49,10,950,0.18
1.49,10,1000,0.19
1.49,10,1160,0.22
1.49,10,1200,0.22
1.49,10,1400,0.26
1.49,10,1425,0.27
1.49,10,1600,0.3
1.49,10,1750,0.33
1.49,10,1800,0.34
1.49,10,2000,0.37
1.49,10,2000,0.41
1.49,10,2400,0.45
1.49,10,2600,0.48
1.49,10,2800,0.52
1.49,10,2850,0.53
1.49,10,3000,0.56
1.49,10,3200,0.6
1.49,10,3400,0.63
1.49,10,3450,0.64
1.49,10,3600,0.67
1.49,10,3800,0.71
1.49,10,4000,0.74
1.49,10,4200,0.78
1.49,10,4400,0.82
1.49,10,4600,0.86
1.49,10,4800,0.89
1.49,10,5000,0.93
1.49,10,5200,0.97
1.49,10,5400,1.01
1.49,10,5600,1.04
1.49,10,5800,1.08
1.49,10,6000,1.12
1.49,10,6200,1.15
1.49,10,6400,1.19
1.49,10,6500,1.23
1.49,10,6800,1.27
