"gr_low","gr_high","rpm","power_a"
1.17,1.23,650,1.52
1.17,1.23,690,1.61
1.17,1.23,700,1.63
1.17,1.23,725,1.69
1.17,1.23,750,1.75
1.17,1.23,800,1.87
1.17,1.23,850,1.98
1.17,1.23,870,2.03
1.17,1.23,900,2.1
1.17,1.23,950,2.22
1.17,1.23,950,2.22
1.17,1.23,1000,2.33
1.17,1.23,1050,2.45
1.17,1.23,1100,2.57
1.17,1.23,1150,2.68
1.17,1.23,1160,2.71
1.17,1.23,1200,2.8
1.17,1.23,1250,2.92
1.17,1.23,1300,3.03
1.17,1.23,1350,3.15
1.17,1.23,1400,3.27
1.17,1.23,1450,3.38
1.17,1.23,1500,3.5
1.17,1.23,1550,3.62
1.17,1.23,1600,3.73
1.17,1.23,1650,3.85
1.17,1.23,1700,3.97
1.17,1.23,1750,4.08
1.17,1.23,1800,4.2
1.17,1.23,1850,4.32
1.17,1.23,1900,4.43
1.17,1.23,1950,4.55
1.23,1.31,50,0.14
1.23,1.31,100,0.27
1.23,1.31,150,0.41
1.23,1.31,200,0.54
1.23,1.31,250,0.68
1.23,1.31,300,0.82
1.23,1.31,350,0.95
1.23,1.31,400,1.09
1.23,1.31,435,1.18
1.23,1.31,450,1.22
1.23,1.31,485,1.32
1.23,1.31,500,1.36
1.23,1.31,550,1.5
1.23,1.31,575,1.57
1.23,1.31,600,1.63
1.23,1.31,650,1.77
1.23,1.31,690,1.88
1.23,1.31,700,1.91
1.23,1.31,725,1.97
1.23,1.31,750,2.04
1.23,1.31,800,2.18
1.23,1.31,850,2.31
1.23,1.31,870,2.37
1.23,1.31,900,2.45
1.23,1.31,950,2.59
1.23,1.31,950,2.59
1.23,1.31,1000,2.72
1.23,1.31,1050,2.86
1.23,1.31,1100,2.99
1.23,1.31,1150,3.13
1.23,1.31,1160,3.16
1.23,1.31,1200,3.27
1.23,1.31,1250,3.4
1.23,1.31,1300,3.54
1.23,1.31,1350,3.67
1.23,1.31,1400,3.81
1.23,1.31,1450,3.95
1.23,1.31,1500,4.08
1.23,1.31,1550,4.22
1.23,1.31,1600,4.36
1.23,1.31,1650,4.49
1.23,1.31,1700,4.63
1.23,1.31,1750,4.76
1.23,1.31,1800,4.9
1.23,1.31,1850,5.04
1.23,1.31,1900,5.17
1.23,1.31,1950,5.31
1.31,1.49,50,0.16
1.31,1.49,100,0.31
1.31,1.49,150,0.47
1.31,1.49,200,0.62
1.31,1.49,250,0.78
1.31,1.49,300,0.93
1.31,1.49,350,1.09
1.31,1.49,400,1.24
1.31,1.49,435,1.35
1.31,1.49,450,1.4
1.31,1.49,485,1.51
1.31,1.49,500,1.56
1.31,1.49,550,1.71
1.31,1.49,575,1.79
1.31,1.49,600,1.87
1.31,1.49,650,2.02
1.31,1.49,690,2.15
1.31,1.49,700,2.18
1.31,1.49,725,2.26
1.31,1.49,750,2.33
1.31,1.49,800,2.49
1.31,1.49,850,2.64
1.31,1.49,870,2.71
1.31,1.49,900,2.8
1.31,1.49,950,2.96
1.31,1.49,950,2.96
1.31,1.49,1000,3.11
1.31,1.49,1050,3.27
1.31,1.49,1100,3.42
1.31,1.49,1150,3.58
1.31,1.49,1160,3.61
1.31,1.49,1200,3.73
1.31,1.49,1250,3.89
1.31,1.49,1300,4.04
1.31,1.49,1350,4.2
1.31,1.49,1400,4.36
1.31,1.49,1450,4.51
1.31,1.49,1500,4.67
